,Product Name,Brand,Ram,Storage,Battery,Screen_size,Rear_Camera,Front_Camera,Rating,Rating_Category,Rating_Count,Review_Count,Total_Engagements,Offer,Price,Price_Range
618,Samsung Galaxy S24 FE 5G,Samsung,8,256 ,4700,6.7,50MP + 12MP,10MP,4.5,Very Good,9888,842,10730,30,45999,30K+
619,Samsung Galaxy S24 FE 5G,Samsung,8,256 ,4700,6.7,50MP + 12MP,10MP,4.5,Very Good,9888,842,10730,30,45999,30K+
620,Samsung Galaxy S24 FE 5G,Samsung,8,256 ,4700,6.7,50MP + 12MP,10MP,4.5,Very Good,9888,842,10730,30,45999,30K+
621,Samsung Galaxy S24 5G,Samsung,8,128 ,4000,6.2,50MP + 10MP + 12MP,12MP,4.6,Excellent,5410,342,5752,37,46999,30K+
622,Samsung Galaxy S24 5G,Samsung,8,128 ,4000,6.2,50MP + 10MP + 12MP,12MP,4.6,Excellent,5410,342,5752,37,46999,30K+
623,Samsung Galaxy S24 5G,Samsung,8,128 ,4000,6.2,50MP + 10MP + 12MP,12MP,4.6,Excellent,5410,342,5752,37,46999,30K+
624,Samsung Galaxy S24 5G,Samsung,8,128 ,4000,6.2,50MP + 10MP + 12MP,12MP,4.6,Excellent,5410,342,5752,37,46999,30K+
625,Samsung Galaxy S24 5G,Samsung,8,128 ,4000,6.2,50MP + 10MP + 12MP,12MP,4.6,Excellent,5410,342,5752,37,46999,30K+
626,MOTOROLA Razr 60,MOTOROLA,8,256 ,4500,6.9,50MP + 13MP,32MP,4.6,Excellent,205,33,238,9,49999,30K+
627,vivo V40 Pro 5G,vivo,8,256 ,5500,6.78,50MP + 50MP + 50MP,50MP,4.5,Very Good,1181,144,1325,9,49999,30K+
628,MOTOROLA Razr 60,MOTOROLA,8,256 ,4500,6.9,50MP + 13MP,32MP,4.6,Excellent,205,33,238,9,49999,30K+
629,MOTOROLA Razr 60,MOTOROLA,8,256 ,4500,6.9,50MP + 13MP,32MP,4.6,Excellent,205,33,238,9,49999,30K+
630,MOTOROLA Razr 60,MOTOROLA,8,256 ,4500,6.9,50MP + 13MP,32MP,4.6,Excellent,205,33,238,9,49999,30K+
631,Samsung Galaxy S24 5G,Samsung,8,256 ,4000,6.2,50MP + 10MP + 12MP,12MP,4.6,Excellent,5410,342,5752,33,52999,30K+
